sentence,words,pos,tags
"Paid Rs.162  to Compass101153Pos1 at Mar 16, 2019 13:14:00 . Order ID: 201903161313590251 . Updated Balance: Paytm Wallet- Rs 418.41",Paid,NNP,
,Rs.162,NNP,AMT
,to,TO,
,Compass101153Pos1,NNP,
,at,IN,
,Mar,NNP,
,16,CD,
,",",",",
,2019,CD,
,13:14:00,CD,
,.,.,
,Order,JJR,
,ID,NN,
,:,:,
,2.01903E+17,CD,
,.,.,
,Updated,VBN,
,Balance,NN,
,:,:,
,Paytm,JJ,
,Wallet-,NNP,
,Rs,NNP,
,418.41,CD,AMT
"Payment of Rs.123.00(Card Rs.123.00 + Amazon Pay balance Rs.0.00) for Txn ID P04-6885576-5748113 on SWIGGY is successful. Updated Amazon Pay balance: Rs.30.00
",Payment,NN,
,of,IN,
,Rs.123.00,NNP,AMT
,(,(,
,Card,NNP,
,Rs.123.00,NNP,AMT
,+,NNP,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,Rs.0.00,NNP,AMT
,),),
,for,IN,
,Txn,NNP,
,ID,NNP,
,P04-6885576-5748113,NNP,
,on,IN,
,SWIGGY,NNP,
,is,VBZ,
,successful,JJ,
,.,.,
,Updated,VBN,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,:,:,
,Rs.30.00,NN,AMT
"Payment of Rs.93.00(Card Rs.63.00 + Amazon Pay balance Rs.30.00) for Txn ID P04-4851895-8136040 on SWIGGY is successful. Updated Amazon Pay balance: Rs.0.00
",Payment,NN,
,of,IN,
,Rs.93.00,NNP,AMT
,(,(,
,Card,NNP,
,Rs.63.00,NNP,AMT
,+,NNP,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,Rs.30.00,NNP,AMT
,),),
,for,IN,
,Txn,NNP,
,ID,NNP,
,P04-4851895-8136040,NNP,
,on,IN,
,SWIGGY,NNP,
,is,VBZ,
,successful,JJ,
,.,.,
,Updated,VBN,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,:,:,
,Rs.0.00,NN,AMT
"Payment of Rs.130.00(Card Rs.100.00 + Amazon Pay balance Rs.30.00) for Txn ID P04-7393785-7976354 on SWIGGY is successful. Updated Amazon Pay balance: Rs.0.00
",Payment,NN,
,of,IN,
,Rs.130.00,NNP,AMT
,(,(,
,Card,NNP,
,Rs.100.00,NNP,AMT
,+,NNP,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,Rs.30.00,NNP,AMT
,),),
,for,IN,
,Txn,NNP,
,ID,NNP,
,P04-7393785-7976354,NNP,
,on,IN,
,SWIGGY,NNP,
,is,VBZ,
,successful,JJ,
,.,.,
,Updated,VBN,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,:,:,
,Rs.0.00,NN,AMT
"Payment of Rs.233.00(Card Rs.203.00 + Amazon Pay balance Rs.30.00) for Txn ID P04-1937608-9643706 on SWIGGY is successful. Updated Amazon Pay balance: Rs.30.00
",Payment,NN,
,of,IN,
,Rs.233.00,NNP,AMT
,(,(,
,Card,NNP,
,Rs.203.00,NNP,AMT
,+,NNP,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,Rs.30.00,NNP,AMT
,),),
,for,IN,
,Txn,NNP,
,ID,NNP,
,P04-1937608-9643706,NNP,
,on,IN,
,SWIGGY,NNP,
,is,VBZ,
,successful,JJ,
,.,.,
,Updated,VBN,
,Amazon,NNP,
,Pay,NNP,
,balance,NN,
,:,:,
,Rs.30.00,NN,AMT
