pos,pos+1,pos+2,pos-1,pos-2,word+1,word+2,word-1,word-2,words,tags
VBN,NN,.,,,rs,.,,,paid,NA
NN,.,CD,,,.,162,,,rs,NA
.,CD,TO,NN,,162,to,rs,,.,NA
CD,TO,VB,.,NN,to,compass101153pos1,.,rs,162,AMT
TO,VB,IN,CD,.,compass101153pos1,at,162,.,to,NA
VB,IN,NN,TO,CD,at,mar,to,162,compass101153pos1,NA
IN,NN,CD,VB,TO,mar,16,compass101153pos1,to,at,NA
NN,CD,",",IN,VB,16,",",at,compass101153pos1,mar,DATE
CD,",",CD,NN,IN,",",2019,mar,at,16,NA
",",CD,CD,CD,NN,2019,13:14:00,16,mar,",",NA
CD,CD,.,",",CD,13:14:00,.,",",16,2019,NA
CD,.,NN,CD,",",.,order,2019,",",13:14:00,TIME
.,NN,NN,CD,CD,order,id,13:14:00,2019,.,NA
NN,NN,:,.,CD,id,:,.,13:14:00,order,NA
NN,:,CD,NN,.,:,201903161313590251,order,.,id,NA
:,CD,VBD,NN,NN,201903161313590251,.updated,id,order,:,NA
CD,VBD,NN,:,NN,.updated,balance,:,id,201903161313590251,NA
VBD,NN,:,CD,:,balance,:,201903161313590251,:,.updated,NA
NN,:,JJ,VBD,CD,:,paytm,.updated,201903161313590251,balance,NA
:,JJ,JJ,NN,VBD,paytm,wallet-,balance,.updated,:,NA
JJ,JJ,NN,:,NN,wallet-,rs,:,balance,paytm,ORG
JJ,NN,CD,JJ,:,rs,418.41,paytm,:,wallet-,NA
NN,CD,,JJ,JJ,418.41,,wallet-,paytm,rs,NA
CD,,,NN,JJ,,,rs,wallet-,418.41,AMT
NN,VBD,:,,,initiated,:,,,refund,NA
VBD,:,NN,,,:,rs,,,initiated,NA
:,NN,.,VBD,,rs,.,initiated,,:,NA
NN,.,CD,:,VBD,.,114.00,:,initiated,rs,NA
.,CD,(,NN,:,114.00,(,rs,:,.,NA
CD,(,NN,.,NN,(,cashback,.,rs,114.00,AMT
(,NN,IN,CD,.,cashback,of,114.00,.,(,NA
NN,IN,NN,(,CD,of,rs,(,114.00,cashback,NA
IN,NN,.,NN,(,rs,.,cashback,(,of,NA
NN,.,CD,IN,NN,.,30.00,of,cashback,rs,NA
.,CD,VBN,NN,IN,30.00,adjusted,rs,of,.,NA
CD,VBN,),.,NN,adjusted,),.,rs,30.00,AMT
VBN,),IN,CD,.,),for,30.00,.,adjusted,NA
),IN,NN,VBN,CD,for,order,adjusted,30.00,),NA
IN,NN,#,),VBN,order,#,),adjusted,for,NA
NN,#,JJ,IN,),#,p04-6488889-0202927on,for,),order,NA
#,JJ,NN,NN,IN,p04-6488889-0202927on,swiggy,order,for,#,NA
JJ,NN,MD,#,NN,swiggy,will,#,order,p04-6488889-0202927on,NA
NN,MD,VB,JJ,#,will,be,p04-6488889-0202927on,#,swiggy,ORG
MD,VB,VBN,NN,JJ,be,credited,swiggy,p04-6488889-0202927on,will,NA
VB,VBN,IN,MD,NN,credited,in,will,swiggy,be,NA
VBN,IN,JJ,VB,MD,in,5-7,be,will,credited,NA
IN,JJ,NN,VBN,VB,5-7,business,credited,be,in,NA
JJ,NN,NNS,IN,VBN,business,days,in,credited,5-7,NA
NN,NNS,.,JJ,IN,days,.,5-7,in,business,NA
NNS,.,NN,NN,JJ,.,cashback,business,5-7,days,NA
.,NN,NN,NNS,NN,cashback,adjustment,days,business,.,NA
NN,NN,,.,NNS,adjustment,,.,days,cashback,NA
NN,,,NN,.,,,cashback,.,adjustment,NA
NN,VBD,:,,,credited,:,,,cashback,NA
VBD,:,NN,,,:,rs,,,credited,NA
:,NN,CD,VBD,,rs,30,credited,,:,NA
NN,CD,VBD,:,VBD,30,added,:,credited,rs,NA
CD,VBD,IN,NN,:,added,as,rs,:,30,AMT
VBD,IN,JJ,CD,NN,as,amazon,30,rs,added,NA
IN,JJ,NN,VBD,CD,amazon,pay,added,30,as,NA
JJ,NN,NN,IN,VBD,pay,balance,as,added,amazon,ORG
NN,NN,IN,JJ,IN,balance,for,amazon,as,pay,NA
NN,IN,JJ,NN,JJ,for,swiggy,pay,amazon,balance,NA
IN,JJ,NN,NN,NN,swiggy,order,balance,pay,for,NA
JJ,NN,IN,IN,NN,order,on,for,balance,swiggy,ORG
NN,IN,JJ,JJ,IN,on,11-apr,swiggy,for,order,NA
IN,JJ,JJ,NN,JJ,11-apr,.updated,order,swiggy,on,NA
JJ,JJ,NN,IN,NN,.updated,balance,on,order,11-apr,DATE
JJ,NN,:,JJ,IN,balance,:,11-apr,on,.updated,NA
NN,:,JJ,JJ,JJ,:,inr,.updated,11-apr,balance,NA
:,JJ,CD,NN,JJ,inr,30,balance,.updated,:,NA
JJ,CD,.,:,NN,30,.,:,balance,inr,NA
CD,.,NN,JJ,:,.,statement,inr,:,30,AMT
.,NN,:,CD,JJ,statement,:,30,inr,.,NA
NN,:,NN,.,CD,:,http,.,30,statement,NA
:,NN,:,NN,.,http,:,statement,.,:,NA
NN,:,NN,:,NN,:,//amzn.eu/d/8ubzvl2,:,statement,http,NA
:,NN,,NN,:,//amzn.eu/d/8ubzvl2,,http,:,:,NA
NN,,,:,NN,,,:,http,//amzn.eu/d/8ubzvl2,NA
NN,.,CD,,,.,55.00,,,rs,NA
.,CD,VBD,,,55.00,was,,,.,NA
CD,VBD,VBN,.,,was,spent,.,,55.00,AMT
VBD,VBN,IN,CD,.,spent,on,55.00,.,was,NA
VBN,IN,JJ,VBD,CD,on,ur,was,55.00,spent,NA
IN,JJ,NN,VBN,VBD,ur,hdfcbank,spent,was,on,NA
JJ,NN,NN,IN,VBN,hdfcbank,credit,on,spent,ur,NA
NN,NN,NN,JJ,IN,credit,card,ur,on,hdfcbank,NA
NN,NN,VBG,NN,JJ,card,ending,hdfcbank,ur,credit,NA
NN,VBG,CD,NN,NN,ending,4235,credit,hdfcbank,card,NA
VBG,CD,IN,NN,NN,4235,on,card,credit,ending,NA
CD,IN,JJ,VBG,NN,on,2018-09-24,ending,card,4235,NA
IN,JJ,IN,CD,VBG,2018-09-24,at,4235,ending,on,NA
JJ,IN,NNS,IN,CD,at,families,on,4235,2018-09-24,DATE
IN,NNS,VBP,JJ,IN,families,super,2018-09-24,on,at,NA
NNS,VBP,NN,IN,JJ,super,market,at,2018-09-24,families,ORG
VBP,NN,NN,NNS,IN,market,.avl,families,at,super,NA
NN,NN,SYM,VBP,NNS,.avl,bal,super,families,market,NA
NN,SYM,:,NN,VBP,bal,-,market,super,.avl,NA
SYM,:,NN,NN,NN,-,rs,.avl,market,bal,NA
:,NN,.,SYM,NN,rs,.,bal,.avl,-,NA
NN,.,CD,:,SYM,.,20675.00,-,bal,rs,NA
.,CD,",",NN,:,20675.00,",",rs,-,.,NA
CD,",",NN,.,NN,",",curr,.,rs,20675.00,AMT
",",NN,SYM,CD,.,curr,o/s,20675.00,.,",",NA
NN,SYM,:,",",CD,o/s,-,",",20675.00,curr,NA
SYM,:,NN,NN,",",-,rs,curr,",",o/s,NA
:,NN,.,SYM,NN,rs,.,o/s,curr,-,NA
NN,.,CD,:,SYM,.,4325.00,-,o/s,rs,NA
.,CD,,NN,:,4325.00,,rs,-,.,NA
CD,,,.,NN,,,.,rs,4325.00,AMT
NN,.,CD,,,.,200.00,,,rs,NA
.,CD,VBD,,,200.00,credited,,,.,NA
CD,VBD,TO,.,,credited,to,.,,200.00,AMT
VBD,TO,VB,CD,.,to,a/c,200.00,.,credited,NA
TO,VB,NN,VBD,CD,a/c,******0915,credited,200.00,to,NA
VB,NN,IN,TO,VBD,******0915,on,to,credited,a/c,NA
NN,IN,JJ,VB,TO,on,22-09-18,a/c,to,******0915,NA
IN,JJ,IN,NN,VB,22-09-18,by,******0915,a/c,on,NA
JJ,IN,NN,IN,NN,by,a/c,on,******0915,22-09-18,DATE
IN,NN,VBN,JJ,IN,a/c,linked,22-09-18,on,by,NA
NN,VBN,TO,IN,JJ,linked,to,by,22-09-18,a/c,NA
VBN,TO,VB,NN,IN,to,vpa,a/c,by,linked,NA
TO,VB,CD,VBN,NN,vpa,7003969055,linked,a/c,to,NA
VB,CD,JJ,TO,VBN,7003969055,@,to,linked,vpa,NA
CD,JJ,NN,VB,TO,@,paytm,vpa,to,7003969055,NA
JJ,NN,(,CD,VB,paytm,(,7003969055,vpa,@,NA
NN,(,JJ,JJ,CD,(,upi,@,7003969055,paytm,NA
(,JJ,NN,NN,JJ,upi,ref,paytm,@,(,NA
JJ,NN,DT,(,NN,ref,no,(,paytm,upi,NA
NN,DT,CD,JJ,(,no,826532176427,upi,(,ref,NA
DT,CD,),NN,JJ,826532176427,),ref,upi,no,NA
CD,),.,DT,NN,),.,no,ref,826532176427,NA
),.,,CD,DT,.,,826532176427,no,),NA
.,,,),CD,,,),826532176427,.,NA
JJ,NN,",",,,customer,",",,,dear,NA
NN,",",NN,,,",",rs,,,customer,NA
",",NN,.,NN,,rs,.,customer,,",",NA
NN,.,CD,",",NN,.,290.00,",",customer,rs,NA
.,CD,VBZ,NN,",",290.00,is,rs,",",.,NA
CD,VBZ,VBN,.,NN,is,debited,.,rs,290.00,AMT
VBZ,VBN,IN,CD,.,debited,from,290.00,.,is,NA
VBN,IN,JJ,VBZ,CD,from,a/c,is,290.00,debited,NA
IN,JJ,NN,VBN,VBZ,a/c,xxxx0915,debited,is,from,NA
JJ,NN,IN,IN,VBN,xxxx0915,for,from,debited,a/c,NA
NN,IN,NN,JJ,IN,for,billpay/credit,a/c,from,xxxx0915,NA
IN,NN,JJ,NN,JJ,billpay/credit,card,xxxx0915,a/c,for,NA
NN,JJ,NN,IN,NN,card,payment,for,xxxx0915,billpay/credit,NA
JJ,NN,IN,NN,IN,payment,via,billpay/credit,for,card,NA
NN,IN,JJ,JJ,NN,via,hdfc,card,billpay/credit,payment,NA
IN,JJ,NN,NN,JJ,hdfc,bank,payment,card,via,NA
JJ,NN,RB,IN,NN,bank,netbanking.call,via,payment,hdfc,NA
NN,RB,CD,JJ,IN,netbanking.call,18002586161,hdfc,via,bank,NA
RB,CD,IN,NN,JJ,18002586161,if,bank,hdfc,netbanking.call,NA
CD,IN,VBN,RB,NN,if,txn,netbanking.call,bank,18002586161,NA
IN,VBN,RB,CD,RB,txn,not,18002586161,netbanking.call,if,NA
VBN,RB,VBN,IN,CD,not,done,if,18002586161,txn,NA
RB,VBN,IN,VBN,IN,done,by,txn,if,not,NA
VBN,IN,PRP,RB,VBN,by,you,not,txn,done,NA
IN,PRP,,VBN,RB,you,,done,not,by,NA
PRP,,,IN,VBN,,,by,done,you,NA
NN,CD,VBN,,,30.00,debited,,,rs,NA
CD,VBN,IN,,,debited,from,,,30.00,AMT
VBN,IN,JJ,CD,,from,a/c,30.00,,debited,NA
IN,JJ,NN,VBN,CD,a/c,**0915,debited,30.00,from,NA
JJ,NN,IN,IN,VBN,**0915,on,from,debited,a/c,NA
NN,IN,JJ,JJ,IN,on,17-04-19,a/c,from,**0915,NA
IN,JJ,TO,NN,JJ,17-04-19,to,**0915,a/c,on,NA
JJ,TO,VB,IN,NN,to,vpa,on,**0915,17-04-19,DATE
